fid,ID,ICESNAME,SOUTH,WEST,NORTH,EAST,AREA_KM2,OBJECTID,ICESNAME_1,Ecoregion,AREA,PERCENTAGE,OBJECTID_1,ICESNAME_2,Shape_STAr,Shape_STLe,SubDivisio
"81","295",01A3,36,-41,36.5,-40,"4987","2",01A3,Oceanic Northeast Atlantic,0.49999998,99.99999671,"0",01A3,0.4999999998,2.9999999994,"1"
"82","296",02A3,36.5,-41,37,-40,"4955","95",02A3,Oceanic Northeast Atlantic,0.5,100,"0",02A3,0.4999999998,2.9999999994,"1"
"83","297",03A3,37,-41,37.5,-40,"4923","184",03A3,Oceanic Northeast Atlantic,0.5,100,"0",03A3,0.4999999998,2.9999999994,"1"
"84","298",04A3,37.5,-41,38,-40,"4891","270",04A3,Oceanic Northeast Atlantic,0.5,100,"0",04A3,0.4999999998,2.9999999994,"1"
"85","299",05A3,38,-41,38.5,-40,"4858","359",05A3,Oceanic Northeast Atlantic,0.5,100,"0",05A3,0.4999999998,2.9999999994,"1"
"86","300",06A3,38.5,-41,39,-40,"4825","438",06A3,Oceanic Northeast Atlantic,0.5,100,"0",06A3,0.5000000007,3.0000000012,"1"
"87","301",07A3,39,-41,39.5,-40,"4792","513",07A3,Oceanic Northeast Atlantic,0.5,100,"0",07A3,0.4999999998,2.9999999994,"1"
"88","302",08A3,39.5,-41,40,-40,"4758","599",08A3,Oceanic Northeast Atlantic,0.5,100,"0",08A3,0.4999999998,2.9999999994,"1"
"89","303",09A3,40,-41,40.5,-40,"4724","689",09A3,Oceanic Northeast Atlantic,0.5,100,"0",09A3,0.4999999998,2.9999999994,"1"
"90","304",10A3,40.5,-41,41,-40,"4689","780",10A3,Oceanic Northeast Atlantic,0.5,100,"0",10A3,0.4999999998,2.9999999994,"1"
"91","305",11A3,41,-41,41.5,-40,"4654","871",11A3,Oceanic Northeast Atlantic,0.5,100,"0",11A3,0.4999999998,2.9999999994,"1"
"92","306",12A3,41.5,-41,42,-40,"4619","961",12A3,Oceanic Northeast Atlantic,0.5,100,"0",12A3,0.4999999998,2.9999999994,"1"
"93","307",13A3,42,-41,42.5,-40,"4583","1045",13A3,Oceanic Northeast Atlantic,0.5,100,"0",13A3,0.4999999998,2.9999999994,"1"
"94","308",14A3,42.5,-41,43,-40,"4547","1133",14A3,Oceanic Northeast Atlantic,0.5,100,"0",14A3,0.4999999998,2.9999999994,"1"
"95","309",15A3,43,-41,43.5,-40,"4511","1220",15A3,Oceanic Northeast Atlantic,0.5,100,"0",15A3,0.5000000007,3.0000000012,
"96","310",16A3,43.5,-41,44,-40,"4474","1301",16A3,Oceanic Northeast Atlantic,0.5,100,"0",16A3,0.4999999998,2.9999999994,
"97","311",17A3,44,-41,44.5,-40,"4437","1381",17A3,Oceanic Northeast Atlantic,0.5,100,"0",17A3,0.4999999998,2.9999999994,
"98","312",18A3,44.5,-41,45,-40,"4400","1459",18A3,Oceanic Northeast Atlantic,0.5,100,"0",18A3,0.4999999998,2.9999999994,
"99","313",19A3,45,-41,45.5,-40,"4362","1534",19A3,Oceanic Northeast Atlantic,0.5,100,"0",19A3,0.4999999998,2.9999999994,
"100","314",20A3,45.5,-41,46,-40,"4324","1610",20A3,Oceanic Northeast Atlantic,0.5,100,"0",20A3,0.4999999998,2.9999999994,
"101","315",21A3,46,-41,46.5,-40,"4286","1678",21A3,Oceanic Northeast Atlantic,0.5,100,"0",21A3,0.4999999998,2.9999999994,
"102","316",22A3,46.5,-41,47,-40,"4247","1741",22A3,Oceanic Northeast Atlantic,0.5,100,"0",22A3,0.4999999998,2.9999999994,
"103","317",23A3,47,-41,47.5,-40,"4208","1802",23A3,Oceanic Northeast Atlantic,0.5,100,"0",23A3,0.4999999998,2.9999999994,
"104","318",24A3,47.5,-41,48,-40,"4169","1859",24A3,Oceanic Northeast Atlantic,0.5,100,"0",24A3,0.5000000007,3.0000000012,
"105","319",25A3,48,-41,48.5,-40,"4129","1916",25A3,Oceanic Northeast Atlantic,0.5,100,"0",25A3,0.4999999998,2.9999999994,
"106","320",26A3,48.5,-41,49,-40,"4089","1982",26A3,Oceanic Northeast Atlantic,0.5,100,"0",26A3,0.4999999998,2.9999999994,
"107","321",27A3,49,-41,49.5,-40,"4048","2032",27A3,Oceanic Northeast Atlantic,0.5,100,"0",27A3,0.4999999998,2.9999999994,
"108","322",28A3,49.5,-41,50,-40,"4008","2085",28A3,Oceanic Northeast Atlantic,0.5,100,"0",28A3,0.4999999998,2.9999999994,
"109","323",29A3,50,-41,50.5,-40,"3967","2138",29A3,Oceanic Northeast Atlantic,0.5,100,"0",29A3,0.4999999998,2.9999999994,
"110","324",30A3,50.5,-41,51,-40,"3925","2189",30A3,Oceanic Northeast Atlantic,0.5,100,"0",30A3,0.4999999998,2.9999999994,
"111","325",31A3,51,-41,51.5,-40,"3884","2241",31A3,Oceanic Northeast Atlantic,0.5,100,"0",31A3,0.4999999998,2.9999999994,
"112","326",32A3,51.5,-41,52,-40,"3842","2293",32A3,Oceanic Northeast Atlantic,0.5,100,"0",32A3,0.4999999998,2.9999999994,
"113","327",33A3,52,-41,52.5,-40,"3800","2347",33A3,Oceanic Northeast Atlantic,0.5,100,"0",33A3,0.5000000007,3.0000000012,
