ID,ICESNAME,SOUTH,WEST,NORTH,EAST,AREA_KM2,OBJECTID,ICESNAME_1,Ecoregion,AREA,PERCENTAGE,OBJECTID_1,ICESNAME_2,Shape_STAr,Shape_STLe,Longitude,Latitude
"300",06A3,38.50000,-41.00000,39.00000,-40.00000,"4825","438",06A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",06A3,0.50000000070,3.00000000120,-40.500,38.750
"301",07A3,39.00000,-41.00000,39.50000,-40.00000,"4792","513",07A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",07A3,0.49999999980,2.99999999940,-40.500,39.250
"302",08A3,39.50000,-41.00000,40.00000,-40.00000,"4758","599",08A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",08A3,0.49999999980,2.99999999940,-40.500,39.750
"303",09A3,40.00000,-41.00000,40.50000,-40.00000,"4724","689",09A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",09A3,0.49999999980,2.99999999940,-40.500,40.250
"304",10A3,40.50000,-41.00000,41.00000,-40.00000,"4689","780",10A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",10A3,0.49999999980,2.99999999940,-40.500,40.750
"305",11A3,41.00000,-41.00000,41.50000,-40.00000,"4654","871",11A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",11A3,0.49999999980,2.99999999940,-40.500,41.250
"306",12A3,41.50000,-41.00000,42.00000,-40.00000,"4619","961",12A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",12A3,0.49999999980,2.99999999940,-40.500,41.750
"307",13A3,42.00000,-41.00000,42.50000,-40.00000,"4583","1045",13A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",13A3,0.49999999980,2.99999999940,-40.500,42.250
"308",14A3,42.50000,-41.00000,43.00000,-40.00000,"4547","1133",14A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",14A3,0.49999999980,2.99999999940,-40.500,42.750
"309",15A3,43.00000,-41.00000,43.50000,-40.00000,"4511","1220",15A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",15A3,0.50000000070,3.00000000120,-40.500,43.250
"310",16A3,43.50000,-41.00000,44.00000,-40.00000,"4474","1301",16A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",16A3,0.49999999980,2.99999999940,-40.500,43.750
"311",17A3,44.00000,-41.00000,44.50000,-40.00000,"4437","1381",17A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",17A3,0.49999999980,2.99999999940,-40.500,44.250
"312",18A3,44.50000,-41.00000,45.00000,-40.00000,"4400","1459",18A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",18A3,0.49999999980,2.99999999940,-40.500,44.750
"313",19A3,45.00000,-41.00000,45.50000,-40.00000,"4362","1534",19A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",19A3,0.49999999980,2.99999999940,-40.500,45.250
"314",20A3,45.50000,-41.00000,46.00000,-40.00000,"4324","1610",20A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",20A3,0.49999999980,2.99999999940,-40.500,45.750
"315",21A3,46.00000,-41.00000,46.50000,-40.00000,"4286","1678",21A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",21A3,0.49999999980,2.99999999940,-40.500,46.250
"316",22A3,46.50000,-41.00000,47.00000,-40.00000,"4247","1741",22A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",22A3,0.49999999980,2.99999999940,-40.500,46.750
"317",23A3,47.00000,-41.00000,47.50000,-40.00000,"4208","1802",23A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",23A3,0.49999999980,2.99999999940,-40.500,47.250
"318",24A3,47.50000,-41.00000,48.00000,-40.00000,"4169","1859",24A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",24A3,0.50000000070,3.00000000120,-40.500,47.750
"319",25A3,48.00000,-41.00000,48.50000,-40.00000,"4129","1916",25A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",25A3,0.49999999980,2.99999999940,-40.500,48.250
"320",26A3,48.50000,-41.00000,49.00000,-40.00000,"4089","1982",26A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",26A3,0.49999999980,2.99999999940,-40.500,48.750
"321",27A3,49.00000,-41.00000,49.50000,-40.00000,"4048","2032",27A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",27A3,0.49999999980,2.99999999940,-40.500,49.250
"322",28A3,49.50000,-41.00000,50.00000,-40.00000,"4008","2085",28A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",28A3,0.49999999980,2.99999999940,-40.500,49.750
"323",29A3,50.00000,-41.00000,50.50000,-40.00000,"3967","2138",29A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",29A3,0.49999999980,2.99999999940,-40.500,50.250
"324",30A3,50.50000,-41.00000,51.00000,-40.00000,"3925","2189",30A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",30A3,0.49999999980,2.99999999940,-40.500,50.750
"325",31A3,51.00000,-41.00000,51.50000,-40.00000,"3884","2241",31A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",31A3,0.49999999980,2.99999999940,-40.500,51.250
"326",32A3,51.50000,-41.00000,52.00000,-40.00000,"3842","2293",32A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",32A3,0.49999999980,2.99999999940,-40.500,51.750
"327",33A3,52.00000,-41.00000,52.50000,-40.00000,"3800","2347",33A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",33A3,0.50000000070,3.00000000120,-40.500,52.250
"328",34A3,52.50000,-41.00000,53.00000,-40.00000,"3757","2402",34A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",34A3,0.49999999980,2.99999999940,-40.500,52.750
"329",35A3,53.00000,-41.00000,53.50000,-40.00000,"3714","2461",35A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",35A3,0.49999999980,2.99999999940,-40.500,53.250
"330",36A3,53.50000,-41.00000,54.00000,-40.00000,"3671","2523",36A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",36A3,0.49999999980,2.99999999940,-40.500,53.750
"331",37A3,54.00000,-41.00000,54.50000,-40.00000,"3628","2593",37A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",37A3,0.49999999980,2.99999999940,-40.500,54.250
"332",38A3,54.50000,-41.00000,55.00000,-40.00000,"3584","2664",38A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",38A3,0.49999999980,2.99999999940,-40.500,54.750
"333",39A3,55.00000,-41.00000,55.50000,-40.00000,"3540","2735",39A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",39A3,0.49999999980,2.99999999940,-40.500,55.250
"334",40A3,55.50000,-41.00000,56.00000,-40.00000,"3496","2806",40A3,Oceanic Northeast Atlantic,0.50000000,100.00000000,"0",40A3,0.49999999980,2.99999999940,-40.500,55.750
