study,oxygen,oxygen_unit,oxygen_mLL,temperature_C,salinity_ppt,activity,activity_unit,SE_activity,SE_rel_activity,response_activity,ingestion,ingestion_unit,SE_ingestion,SE_rel_ingestion,response_ingestion,fce,fce_unit,SE_fce,SE_rel_fce,response_fce,nTreatment,species,age_class
Skjæraasen2008,69.79591837,percent_sat,5.10154,5,34,0.238019169,BL_s,0.010758297,0.045199288,0.681610246,,,,,,,,,,,12,Gadus_morhua,juvenile
Skjæraasen2008,100,percent_sat,6.08623,15,34,0.482108626,BL_s,0.016952468,0.035163171,1,,,,,,,,,,,16,Gadus_morhua,juvenile
Skjæraasen2008,20,percent_sat,1.21725,15,34,0.203514377,BL_s,0.007824216,0.03844552,0.422133864,,,,,,,,,,,16,Gadus_morhua,juvenile
Skjæraasen2008,29.53061224,percent_sat,1.7973,15,34,0.137060703,BL_s,0.008150225,0.059464346,0.284294235,,,,,,,,,,,16,Gadus_morhua,juvenile
Skjæraasen2008,37.2244898,percent_sat,2.26557,15,34,0.252076677,BL_s,0.014996414,0.059491478,0.522862823,,,,,,,,,,,16,Gadus_morhua,juvenile
Skjæraasen2008,41.42857143,percent_sat,2.52144,15,34,0.377316294,BL_s,0.01304036,0.034560819,0.782637509,,,,,,,,,,,16,Gadus_morhua,juvenile
Skjæraasen2008,47.02040816,percent_sat,2.86177,15,34,0.397763578,BL_s,0.014996414,0.037701828,0.825049702,,,,,,,,,,,16,Gadus_morhua,juvenile
Skjæraasen2008,56.48979592,percent_sat,3.4381,15,34,0.404153355,BL_s,0.020864576,0.051625394,0.838303513,,,,,,,,,,,16,Gadus_morhua,juvenile
Skjæraasen2008,69.95918367,percent_sat,4.25788,15,34,0.373482428,BL_s,0.018582513,0.049754718,0.774685222,,,,,,,,,,,16,Gadus_morhua,juvenile
Thorarensen2017,65,percent_sat,4.46025,10,29,,,,,,1623.880597,total_consumption,24.36795614,0.015006002,0.714848883,0.988200589,biomassgain_unitweight,0.042643923,0.043153104,0.864306784,4,Gadus_morhua,juvenile
Thorarensen2017,81,percent_sat,5.55816,10,29,,,,,,1910.447761,total_consumption,25.12945477,0.013153699,0.840998686,0.895721925,biomassgain_unitweight,0.041882425,0.046758289,0.78342246,4,Gadus_morhua,juvenile
Thorarensen2017,103,percent_sat,7.06778,10,29,,,,,,2191.044776,total_consumption,25.12945477,0.011469165,0.964520368,1.116666667,biomassgain_unitweight,0.042643923,0.038188588,0.976666668,4,Gadus_morhua,juvenile
Thorarensen2017,121,percent_sat,8.30293,10,29,,,,,,2188.059701,total_consumption,25.12945477,0.011484812,0.963206307,1.143344709,biomassgain_unitweight,0.041882425,0.036631494,1,4,Gadus_morhua,juvenile
Thorarensen2017,150,percent_sat,10.29289,10,29,,,,,,2271.641791,total_consumption,25.12945477,0.011062244,1,1.101973684,biomassgain_unitweight,0.042643923,0.038697769,0.96381579,4,Gadus_morhua,juvenile
